url,Property ID,Price,State of the property,Availability,Number of bedrooms,Livable surface,Furnished,Attic,Garage,Number of garages,Kitchen equipment,Kitchen type,Number of bathrooms,Number of showers,Number of toilets,Type of heating,Type of glazing,Elevator,Number of facades,Garden,Surface garden,Terrace,Surface terrace,Total land surface,Swimming pool
https://immovlan.be/en/detail/studio/for-sale/4000/liege/vbd20021,vbd20021,175 000 €,New,On contract,0,51 m²,,,,,,,1,,1,,,,,No,,No,,,
https://immovlan.be/en/detail/apartment/for-sale/1410/waterloo/vbd30235,vbd30235,415 000 €,New,On contract,1,70 m²,No,,Yes,,Super equipped,,1,1,1,,,Yes,2,Yes,,Yes,20 m²,,Yes
https://immovlan.be/en/detail/residence/for-sale/1501/buizingen/vbd46297,vbd46297,399 000 €,,,2,129 m²,,,Yes,,,,1,1,1,Gas,Double glass,,4,Yes,,,,,
https://immovlan.be/en/detail/apartment/for-sale/7000/mons/vbd36813,vbd36813,229 000 €,New,,2,82 m²,,,,,,,,,,,,Yes,3,No,,Yes,8 m²,,
https://immovlan.be/en/detail/apartment/for-sale/7000/mons/vbb60643,vbb60643,320 000 €,New,,3,106 m²,,,,,,,,1,1,,,,,Yes,,Yes,6 m²,,
https://immovlan.be/en/detail/apartment/for-sale/1400/nivelles/vbd46661,vbd46661,185 000 €,Excellent,,1,56 m²,No,,,,,,,1,1,Gas,,Yes,4,No,,Yes,7 m²,,
https://immovlan.be/en/detail/residence/for-sale/6830/bouillon/vbd11776,vbd11776,190 000 €,,,5,142 m²,No,Yes,Yes,1,,,,1,3,Fuel oil,,No,3,Yes,,Yes,,320 m²,
https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbd48568,vbd48568,,New,,4,167 m²,No,,,,Super equipped,,3,,3,,Double glass,,3,Yes,,Yes,,,
https://immovlan.be/en/detail/apartment/for-sale/1480/tubize/vbd36992,vbd36992,329 000 €,New,,3,113 m²,,,,,,,,,,,,Yes,2,No,,Yes,9 m²,,
https://immovlan.be/en/detail/residence/for-sale/9810/nazareth/rbu64988,rbu64988,327 850 €,To be renovated,On contract,3,185 m²,No,Yes,Yes,1,Super equipped,,1,1,2,Fuel oil,Double glass,No,4,Yes,315 m²,Yes,21 m²,683 m²,No
